##SETS

set M := 1 2 3 4 5 6 7 8 9 10 11 12;
set W := 1 2 3 4 5 6 7;

param: required :=
1	2844
2	2915
3	2993
4	2934
5	2906
6	2720
7	2447
8	2068
9	2020
10	2186
11	2431
12	3017
;

param: subscription :=
1	313983.55
2	285309.47
3	264921.51
4	262301.32
5	242064.05
6	246394.75
7	142061.62
8	85677.48
9	131628.53
10	92254.75
11	174331.88
12	363233.11
;

param: fees :=
1	272393.21
2	193508.69
3	213769.44
4	192896.04
5	160722.13
6	148095.85
7	98540.61
8	66665.04
9	57835.37
10	60523.57
11	126927.62
12	207920.71
;

param: repair :=
1	0.24
2	0.21
3	0.54
4	0.27
5	0.29
6	0.23
7	0.24
8	0.25
9	0.29
10	0.25
11	0.21
12	0.17
;

param REPAIR := 50;
param NEW := 250;

param: rent :=
1	16583.33333
2	17616.66667
3	29383.33333
4	890.75
5	8854.166667
6	7729.166667
7	5000
;

param: cap :=
1	11111
2	11111
3	9794
4	1696
5	6944
6	7361
7	2777
;

param: travtime :=
1	0.40
2	0.38
3	0.30
4	0.40
5	0.42
6	0.42
7	0.43
;

param TRUCK := 6;
param CAP_T := 28;
param OPERATE := 40;
param MAX_H := 960;
